id	Airline	A_ICAO	Time	InitialDate	FinalDate
224009	EWG	UNKNOWN	625	3	31
224010	DLH	EDDF	600	4	31
224011	CAI	UNKNOWN	500	4	31
224012	DLH	EDDM	540	5	31
224013	SDR	LGRP	755	6	31
224014	EWG	LGRP	885	6	31
224015	SDR	LGKO	1245	6	31
224016	FEG	UNKNOWN	1285	6	13
224017	CXI	UNKNOWN	1160	6	31
224018	DLH	EDDM	1180	6	31
224019	DLH	EDDM	775	6	29
224021	BUC	UNKNOWN	1215	8	27
224022	LDM	UNKNOWN	620	12	24
224023	LDM	LEPA	620	25	31
224024	HES	UNKNOWN	380	24	31
224121	PGT	UNKNOWN	140	14	28
233334	DLH	EDDF	1000	3	31
233335	DLH	EDDF	1055	2	31
233340	DLH	EDDF	645	2	31
233342	DLH	EDDF	675	0	31
233343	DLH	EDDF	560	3	31
233350	AZA	EDDF	810	0	31
233353	BAW	EDDF	540	0	31
233356	DLH	EDDF	625	12	29
233369	EIN	EDDF	785	0	31
233372	DLH	EDDF	1395	2	31
233374	DLH	EDDF	1345	0	31
233385	DLH	EDDF	990	4	28
233394	SWR	EDDF	590	0	31
233400	DLH	EDDF	1385	13	31
233404	DLH	EDDF	830	12	31
233407	DLH	EDDF	580	0	31
233410	DLH	EDDF	655	0	31
233415	DLH	EDDF	550	2	31
233425	DLH	EDDF	820	12	31
233433	DLH	EDDF	550	2	31
233441	DLH	EDDF	1050	0	31
233442	AEE	EDDF	1255	0	30
233454	DLH	EDDF	690	2	31
233455	AUA	EDDF	860	0	31
233456	DLH	EDDF	840	2	31
233463	DLH	EDDF	1390	6	31
233464	SAS	EDDF	850	0	31
233474	KLM	EDDF	935	0	31
233489	DLH	EDDF	830	2	23
233493	DLH	EDDF	755	4	31
233498	DLH	EDDF	1045	2	31
233507	DLH	EDDF	970	0	31
233513	DLH	EDDF	560	0	31
233517	DLH	EDDF	520	2	31
233520	AUA	EDDF	740	0	31
233522	CFG	EDDF	410	12	31
233533	DLH	EDDF	560	2	31
233534	DLH	EDDF	975	2	31
233535	DLH	EDDF	1080	2	31
233544	SAS	EDDF	655	0	31
233547	FIN	EDDF	1305	0	31
233550	DLH	EDDF	1360	0	31
233555	DLH	EDDF	580	2	31
233558	AUA	EDDF	1315	0	31
233559	AUA	EDDF	1050	0	31
233564	TUI	EDDF	1340	25	31
233568	FIN	EDDF	850	0	31
233569	DLH	EDDF	1035	0	17
233570	DLH	EDDF	1035	19	30
233573	DLH	EDDF	635	0	31
233574	DLH	EDDF	740	2	31
233581	DLH	EDDF	740	0	17
233582	DLH	EDDF	760	18	31
233593	DLH	EDDF	535	0	31
233610	DLH	EDDF	845	2	31
233612	DLH	EDDF	720	2	31
233615	LOT	EDDF	1300	0	31
233646	DLH	EDDF	540	3	30
233676	DLH	EDDF	1025	1	31
233677	LOT	EDDF	745	1	31
233684	DLH	EDDF	1170	2	31
233686	SAS	EDDF	1315	2	31
233687	DLH	EDDF	520	2	31
233689	DLH	EDDF	1105	2	31
233690	DLH	EDDF	735	2	30
233695	DLH	EDDF	840	2	31
233696	DLH	EDDF	575	2	31
233698	DLH	EDDF	1125	2	31
233699	DLH	EDDF	1085	2	31
233700	DLH	EDDF	540	2	18
233701	DLH	EDDF	840	2	31
233702	DLH	EDDF	1100	2	31
233705	DLH	EDDF	615	2	31
233707	DLH	EDDF	1110	27	31
233708	AUA	EDDF	550	2	31
233709	DLH	EDDF	1105	2	31
233710	WZZ	EDDF	1170	2	31
233712	DLH	EDDF	775	2	31
233714	DLH	EDDF	535	2	31
233715	DLH	EDDF	1070	2	31
233717	DLH	EDDF	1310	6	31
233718	DLH	EDDF	840	2	31
233719	DLH	EDDF	915	2	31
233720	RYR	EDDF	1100	2	30
233723	RYR	EDDF	1120	25	31
233724	DLH	EDDF	1000	2	31
233726	DLH	EDDF	1405	2	31
233727	AUA	EDDF	1150	2	31
233731	DLH	EDDF	705	2	31
233732	DLH	EDDF	1090	2	30
233734	DLH	EDDF	750	2	31
233735	DLH	EDDF	490	2	31
233736	DLH	EDDF	1095	2	31
233737	DLH	EDDF	780	2	30
233738	DLH	EDDF	1265	2	30
233744	RYR	EDDF	605	4	30
233746	TAP	EDDF	550	3	31
233750	DLH	EDDF	460	2	31
233751	DLH	EDDF	1125	2	31
233752	DLH	EDDF	825	2	30
233754	CPA	EDDF	1210	2	31
233755	DLH	EDDF	850	2	31
233756	DLH	EDDF	600	2	31
233757	DLH	EDDF	1115	2	31
233762	DLH	EDDF	630	2	31
233764	DLH	EDDF	1100	2	31
233769	DLH	EDDF	1000	2	31
233770	DLH	EDDF	945	2	31
233771	DLH	EDDF	1340	2	31
233772	DLH	EDDF	1335	2	31
233773	DLH	EDDF	810	2	31
233775	DLH	EDDF	715	4	30
233776	DLH	EDDF	1190	2	31
233779	AUA	EDDF	1270	2	31
233782	DLH	EDDF	1135	2	17
233783	DLH	EDDF	680	2	31
233784	DLH	EDDF	855	2	31
233786	DLA	EDDF	1095	2	30
233790	DLA	EDDF	1350	2	30
233793	DLH	EDDF	875	6	28
233794	DLH	EDDF	1115	2	31
233795	DLH	EDDF	1380	2	31
233796	DLH	EDDF	635	2	30
233797	DLH	EDDF	1110	2	31
233798	DLH	EDDF	725	2	31
233799	DLH	EDDF	690	2	31
233800	WZZ	EDDF	620	2	31
233801	DLH	EDDF	1115	2	31
233803	DLH	EDDF	855	10	31
233804	DLH	EDDF	840	2	31
